N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,SK바이오팜,"67,700",500,-0.73%,500,"53,018","78,313",6.31,"62,235",-109.37,15.75,
61,삼성중공업,"5,840",130,+2.28%,"1,000","51,392","880,000",16.54,"4,847,235",-7.26,-36.89,
62,현대제철,"38,300","2,450",+6.83%,"5,000","51,110","133,446",23.21,"2,948,258",3.14,8.54,
63,맥쿼리인프라,"12,440",10,+0.08%,0,"50,363","404,846",13.57,"668,483",N/A,N/A,
64,CJ제일제당,"329,500","1,500",-0.45%,"5,000","49,604","15,054",24.45,"40,052",8.09,10.76,
65,한온시스템,"9,200",110,-1.18%,100,"49,110","533,800",16.44,"595,575",32.17,13.83,
66,TIGER CD금리투자KIS(합성),"51,940",5,+0.01%,0,"48,878","94,104",0.00,"226,300",N/A,N/A,
67,HD현대,"61,700",400,+0.65%,"1,000","48,739","78,993",18.74,"137,507",4.33,-1.99,
68,오리온,"122,700","1,200",+0.99%,500,"48,511","39,536",40.28,"72,446",15.98,12.75,
69,SK아이이테크놀로지,"67,400",900,+1.35%,"1,000","48,055","71,298",7.27,"355,375",-99.85,5.57,
70,한국타이어앤테크놀로지,"38,550",300,+0.78%,500,"47,754","123,875",36.54,"286,812",6.57,7.69,
71,LG유플러스,"10,920",50,+0.46%,"5,000","47,678","436,611",38.21,"683,683",7.99,9.47,
72,DB손해보험,"67,300","1,100",+1.66%,500,"47,648","70,800",43.56,"91,837",4.84,13.38,
73,금호석유,"161,400","7,000",+4.53%,"5,000","47,313","29,314",22.14,"293,395",4.59,47.76,
74,한국항공우주,"46,400",100,+0.22%,"5,000","45,228","97,475",23.96,"762,594",34.91,5.19,
75,강원랜드,"20,950",150,-0.71%,500,"44,821","213,940",20.52,"612,667",46.97,-0.33,
76,미래에셋증권,"7,260",60,+0.83%,"5,000","44,672","615,316",12.83,"831,390",7.76,11.66,
77,한화에어로스페이스,"87,800",400,+0.46%,"5,000","44,453","50,630",28.03,"455,133",24.04,9.21,
78,현대건설,"39,100","1,500",+3.99%,"5,000","43,540","111,356",25.01,"1,390,608",6.55,5.89,
79,메리츠증권,"6,930",330,+5.00%,"1,000","42,622","615,041",14.67,"2,567,184",5.78,15.77,
80,포스코인터내셔널,"23,550",900,+3.97%,"5,000","41,430","175,923",5.99,"855,774",5.08,10.86,
